koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_time0bk,koi_impact,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_period_err,koi_time0bk_err,koi_impact_err,koi_duration_err,koi_depth_err,koi_prad_err,koi_insol_err,koi_steff_err,koi_slogg_err,koi_srad_err,koi_period_log,koi_duration_log,koi_depth_log,koi_prad_log,koi_teq_log,koi_insol_log,koi_model_snr_log,depth_to_snr_ratio,planet_to_star_radius_ratio,koi_disposition
0.0,1.0,0.0,0.0,0.0,209.04355,0.701,1.0,5520.0,4.466,0.983,15.207,0.0017493821766555186,0.0022203152929257592,0.006403124237432849,0.18526197667087546,47.37615433949868,2.2452171387195494,0.16155494421403513,149.40214188558343,0.12419339757008019,0.15590060936378664,6.509730717723765,3.9965847177711837,9.803225130597733,2.717340248009303,5.2832037287379885,0.3001045924503381,6.467232779058571,28.148436240627916,14.384522497942525,2
0.0,0.0,1.0,0.0,0.0,173.83826,1.248,1.0,6144.0,4.402,1.091,15.25,0.00022061731573020282,0.0029557063453597683,6.912324717488321,0.14849242404917498,99.8434775035405,13.91454275209933,15.839273973260264,286.8030683238936,0.22863289352147034,0.3807886552931954,4.131260743775976,2.1555920692533856,8.541749209312124,3.7103962975761857,6.226536669287466,2.799108932049177,4.457829598089382,60.06213294182729,36.54442113251959,2
1.0,0.0,0.0,0.0,0.0,172.82048,0.468,1.0,5481.0,4.369,1.036,15.172,0.0002265570126921698,0.004780041840821062,0.5327382096302086,0.15980613254815976,33.09259735953042,0.5024937810560445,8.334464589882183,110.45361017187261,0.15633937443907084,0.18552627846210898,3.6731958214003435,1.8852498123153938,6.586447478880696,1.3402504226184837,6.272877006546167,2.9719517448885875,3.5751506887855933,20.870316401431804,2.722005094589677,1
0.992,0.0,0.0,0.0,0.0,165.00404,0.045,2.0,5031.0,4.485,0.848,15.841,0.0001321582574037657,0.0024183051916579924,0.3399911763560931,0.08951971849821691,64.34671708797582,0.3624913792078372,2.2853664913969487,111.8659912573969,0.08759566199304622,0.07920227269466451,3.742355172006892,1.728056154763823,7.70296253473323,1.5810384379124023,6.0867747269123065,2.278292400425001,3.955082494888593,43.24023353046419,4.551881424668131,1
1.0,0.0,0.0,0.0,0.0,171.30126,0.105,3.0,5031.0,4.485,0.848,15.841,1.3543923286847132e-05,0.0016546298679765213,0.34534909873923225,0.06024549775709385,34.64823227814083,0.25079872407968906,28.228823921658517,111.8659912573969,0.08759566199304622,0.07920227269466451,1.9814099714869908,1.2758933858842223,6.944954719971244,1.2947271675944,6.714170529909472,4.694096395182493,3.8732821771117156,22.01486152834689,3.124996314862836,1
1.0,0.0,0.0,0.0,0.0,176.3608,0.799,1.0,5015.0,4.499,0.826,15.39,6.864592631759003e-05,0.003436538956566621,0.5594729662816605,0.11186429278371182,55.72001435749994,0.46010868281309364,14.367689445418842,221.5784285529618,0.14727185746095553,0.12249489785293101,2.833982706256498,1.4481887646574803,7.023669903578493,1.410986973710262,6.386879319362645,3.4114776910697118,3.5322256440685598,33.792167656862425,3.7530220907722875,1
1.0,0.0,0.0,0.0,0.0,194.1019,0.021,1.0,5586.0,4.56,0.798,15.082,8.203852875326325e-05,0.001951614716074871,0.4025481337678763,0.08202438661763951,35.921024484276614,0.8285529554590944,11.310724998867226,214.96046148071045,0.15811388300841897,0.19669773765857096,3.515381853060713,1.7573577925106914,7.498758985873379,1.4724720573609429,6.2285110035911835,2.806386101823072,4.394449154672439,22.559999718000004,4.210521039447318,1
0.978,0.0,0.0,0.0,0.0,193.8378,0.606,2.0,5586.0,4.56,0.798,15.082,0.0010632057561920927,0.009093393206059001,0.5217518567288477,0.28849956672411137,51.194530957906046,0.5239274758971894,2.8448550050925268,214.96046148071045,0.15811388300841897,0.19669773765857096,4.530158734127158,2.011296524948153,6.481577129276431,1.1378330018213911,5.886104031450156,1.5933085305042167,3.0007198150650303,34.13612386721864,2.6566382748893798,1
1.0,0.0,0.0,0.0,0.0,172.2585292,0.831,1.0,5712.0,4.359,1.082,15.263,7.283199846221441e-07,0.00011695546160825496,0.01649242250247064,0.010606601717798213,28.284271247461902,2.4440130932546165,173.65544765425588,108.89444430272832,0.15556349186104046,0.21640009242142202,1.7849562537481962,1.1716737610509584,9.190443740261726,2.580974118534234,7.00669522683704,5.859075359062237,6.5475025136955205,14.073223238947275,11.284647611231414,0
0.0,0.0,1.0,1.0,0.0,170.69579,1.016,1.0,5550.0,4.468,0.91,15.54,7.967679210410017e-06,0.002319310242291876,3.967438720383719,0.1261478497636801,29.557063453597685,1.8033579788827285,443.6943671042039,257.3868683519033,0.19194269978303422,0.25101593574910736,1.3086808134176477,1.4776649728244409,6.75855897262001,2.020222182019865,7.109062135687172,6.270629199099972,3.8979240810486444,17.813664227460368,7.1868052892249565,2
1.0,0.0,0.0,0.0,0.0,171.34905,0.312,1.0,6075.0,4.486,0.969,15.395,2.51305750033699e-05,0.004242640687119285,0.347936775865961,0.13208754672564707,24.748737341529164,0.6862215385719105,384.09186934898787,282.5261049885479,0.21440149253211835,0.31622776601683794,1.7045235415742663,1.5552351264197843,6.133398042996649,1.1314021114911006,7.033506484287697,5.967735220408745,3.417726683613366,15.593219810399328,2.167180426026392,1
0.0,0.0,1.0,0.0,0.0,179.401981,0.723,1.0,6074.0,4.391,1.063,15.536,8.290119902631083e-06,0.00035213917703090064,0.022360679774997897,0.0253144227664784,39.173715677734734,4.268782027698299,66.73808283131903,268.93121797217964,0.22847319317591724,0.3655571090814676,3.0277738893624906,1.832805438664056,9.37305428246393,2.5967461315435356,6.594413459749778,4.219948784356969,6.243001172923409,22.917802838103228,11.683902461051309,2
1.0,0.0,0.0,0.0,0.0,133.143089,0.787,1.0,5779.0,4.339,1.087,12.791,4.316179792362687e-06,0.0006618519471906085,0.5650221234606658,0.03394112549695428,5.656854249492381,0.5738466694161429,171.14115957302616,155.05160431288675,0.17055204484262276,0.21169081227110448,1.8582030382028938,1.3730064667929551,6.401253626696201,1.3711807233098425,6.9975959829819265,5.825055708774077,5.122176668829163,3.60887820270619,2.7046893241128576,1
